dataset_id,name,family,source,task_type,seed,length,horizon,nrmse_esn_matched,nrmse_qrc_spin,qrc_advantage,actual_usefulness_label,predicted_qrc_advantage,predicted_usefulness_label,predicted_prob_qrc_useful,property_pc1,property_pc2,abs_prediction_error,prediction_correct_label
logistic_r3.9420_s010_snr20db:9050:800,logistic_r3.9420_s010_snr20db,chaotic_map,synthetic,forecast,9050,800,1,0.904116646230582,0.588563748065486,0.315552898165096,qrc_useful,0.10128896879483504,qrc_useful,0.9356776457006707,2.4126769952249005,0.6438481197329222,0.21426392937026098,True
logistic_r3.7705_s011_snr5db:9051:800,logistic_r3.7705_s011_snr5db,chaotic_map,synthetic,forecast,9051,800,2,0.9056694497541548,0.9234833527563836,-0.0178139030022287,near_tie,0.0011331181928621104,near_tie,0.17721751922309562,2.0271279326694898,0.244662686929603,0.01894702119509081,True
logistic_r3.6714_s012_snr10db:9052:800,logistic_r3.6714_s012_snr10db,chaotic_map,synthetic,forecast,9052,800,186,0.6560574132925544,0.7224418051702758,-0.0663843918777213,baseline_preferred,-0.13046941846363255,baseline_preferred,0.03643743754350862,-0.2038303355928856,1.5713016666432476,0.06408502658591125,True
logistic_r3.7042_s013_snr20db:9053:800,logistic_r3.7042_s013_snr20db,chaotic_map,synthetic,forecast,9053,800,4,0.907212984768997,0.7056330624277335,0.2015799223412635,qrc_useful,0.057243794984486535,qrc_useful,0.7973345065790317,0.5949260196262025,0.5909066617830259,0.14433612735677698,True
logistic_r3.8803_s014_snr5db:9054:800,logistic_r3.8803_s014_snr5db,chaotic_map,synthetic,forecast,9054,800,1,0.8546772566572516,0.8505287085014913,0.0041485481557602,near_tie,0.006428487383007888,near_tie,0.1792143113885148,1.7698316059972328,-0.4943091923931972,0.0022799392272476876,True
logistic_r3.8526_s015_snr10db:9055:800,logistic_r3.8526_s015_snr10db,chaotic_map,synthetic,forecast,9055,800,101,0.3241476411089142,0.590742112445223,-0.2665944713363087,baseline_preferred,-0.1943397560481323,baseline_preferred,0.013864078637965483,-0.6167824556573757,1.9105654124382137,0.0722547152881764,True
logistic_r3.7406_s016_snr20db:9056:800,logistic_r3.7406_s016_snr20db,chaotic_map,synthetic,forecast,9056,800,2,0.1149517907295473,0.554862931620997,-0.4399111408914495,baseline_preferred,-0.4041582890551996,baseline_preferred,0.014122415866593659,-0.5066458897496149,2.122091579218968,0.03575285183624988,True
logistic_r3.9014_s017_snr5db:9057:800,logistic_r3.9014_s017_snr5db,chaotic_map,synthetic,forecast,9057,800,1,0.8612614496851894,0.7937341419479681,0.0675273077372212,qrc_useful,0.0011331181928621104,near_tie,0.3243742067578308,2.3515713824776543,0.05769591876464685,0.06639418954435909,False
logistic_r3.6964_s018_snr10db:9058:800,logistic_r3.6964_s018_snr10db,chaotic_map,synthetic,forecast,9058,800,7,0.9424782710388532,0.9752699662832812,-0.0327916952444281,near_tie,0.012809070070766088,near_tie,0.33342986610082287,1.357346741449975,0.8294452255714551,0.045600765315194185,True
logistic_r3.8078_s019_snr20db:9059:800,logistic_r3.8078_s019_snr20db,chaotic_map,synthetic,forecast,9059,800,2,0.8956880786263403,0.6247593174722732,0.270928761154067,qrc_useful,0.09779866079203713,qrc_useful,0.6835516978044429,1.6897516450856165,0.8963527804951065,0.17313010036202986,True
linear_memory_lag01_s000_snr5db:9060:800,linear_memory_lag01_s000_snr5db,input_driven,synthetic,input_driven,9060,800,1,0.5864013203894226,0.9533044113200992,-0.3669030909306765,baseline_preferred,-0.41613278507191004,baseline_preferred,0.03934814478875852,1.5668961622937967,-0.6899108093774545,0.049229694141233515,True
linear_memory_lag08_s001_snr10db:9061:800,linear_memory_lag08_s001_snr10db,input_driven,synthetic,input_driven,9061,800,1,0.3892518202277532,0.9950406095340812,-0.6057887893063278,baseline_preferred,-0.6134494459746603,baseline_preferred,0.03561800381673844,1.4166197489079984,-0.6371848799025962,0.007660656668332488,True
linear_memory_lag15_s002_snr20db:9062:800,linear_memory_lag15_s002_snr20db,input_driven,synthetic,input_driven,9062,800,1,0.2523787668746183,1.0451750969893188,-0.7927963301147005,baseline_preferred,-0.6853283074546537,baseline_preferred,0.030401000856510027,1.6556553786752026,-0.59393520618979,0.10746802266004685,True
linear_memory_lag22_s003_snr5db:9063:800,linear_memory_lag22_s003_snr5db,input_driven,synthetic,input_driven,9063,800,1,0.5599402365636216,1.0159122429841003,-0.4559720064204787,baseline_preferred,-0.41478018688370494,baseline_preferred,0.046028224801253244,1.7808986566775917,-0.7284582483960023,0.041191819536773755,True
linear_memory_lag04_s004_snr10db:9064:800,linear_memory_lag04_s004_snr10db,input_driven,synthetic,input_driven,9064,800,1,0.3780640200795403,0.9995102476612874,-0.6214462275817471,baseline_preferred,-0.650361996599848,baseline_preferred,0.031187290317927736,1.6811390239138047,-0.3011945822676254,0.02891576901810089,True
linear_memory_lag11_s005_snr20db:9065:800,linear_memory_lag11_s005_snr20db,input_driven,synthetic,input_driven,9065,800,1,0.2446291279247714,1.0058608121611092,-0.7612316842363378,baseline_preferred,-0.6957331531696327,baseline_preferred,0.02229419421513917,1.4520627357959799,-0.7364276342136853,0.06549853106670511,True
linear_memory_lag18_s006_snr5db:9066:800,linear_memory_lag18_s006_snr5db,input_driven,synthetic,input_driven,9066,800,1,0.5584812990526582,1.0201532141824716,-0.4616719151298134,baseline_preferred,-0.42473433077856987,baseline_preferred,0.02966467350078697,1.9726518645977689,-0.6030985883710734,0.03693758435124356,True
linear_memory_lag25_s007_snr10db:9067:800,linear_memory_lag25_s007_snr10db,input_driven,synthetic,input_driven,9067,800,1,0.428978124166781,1.0118422408740522,-0.5828641167072712,baseline_preferred,-0.6584480163345767,baseline_preferred,0.02554672709724557,2.0126886906399135,-0.5606002054119776,0.0755838996273055,True
linear_memory_lag07_s008_snr20db:9068:800,linear_memory_lag07_s008_snr20db,input_driven,synthetic,input_driven,9068,800,1,0.2858411975307071,0.9963369975970487,-0.7104958000663416,baseline_preferred,-0.730787911393431,baseline_preferred,0.027199216145421964,1.2106301202774092,-1.0509075217799861,0.020292111327089413,True
linear_memory_lag14_s009_snr5db:9069:800,linear_memory_lag14_s009_snr5db,input_driven,synthetic,input_driven,9069,800,1,0.606676954661072,1.0397455610305115,-0.4330686063694398,baseline_preferred,-0.37467810024974896,baseline_preferred,0.02448226524005441,2.0560974803335035,-0.4869556909319591,0.05839050611969082,True
linear_memory_lag21_s010_snr10db:9070:800,linear_memory_lag21_s010_snr10db,input_driven,synthetic,input_driven,9070,800,1,0.3761681518888272,1.008995772936906,-0.6328276210480788,baseline_preferred,-0.5875278666972356,baseline_preferred,0.035203677335432344,1.8421766610357326,-0.36029638957819055,0.04529975435084321,True
linear_memory_lag03_s011_snr20db:9071:800,linear_memory_lag03_s011_snr20db,input_driven,synthetic,input_driven,9071,800,1,0.2458050590491857,1.0001732054646293,-0.7543681464154436,baseline_preferred,-0.7082517588501512,baseline_preferred,0.026068841666497217,1.4020156069390353,-0.7989172359850546,0.04611638756529235,True
linear_memory_lag10_s012_snr5db:9072:800,linear_memory_lag10_s012_snr5db,input_driven,synthetic,input_driven,9072,800,1,0.5313016004168797,1.0305236955342227,-0.499222095117343,baseline_preferred,-0.3887067331393126,baseline_preferred,0.032145356424362295,1.8415131608884698,-0.5312058668085943,0.11051536197803041,True
linear_memory_lag17_s013_snr10db:9073:800,linear_memory_lag17_s013_snr10db,input_driven,synthetic,input_driven,9073,800,1,0.3592399337764981,1.0134517532621148,-0.6542118194856166,baseline_preferred,-0.5237625198002698,baseline_preferred,0.048812238289641395,1.8510329062051079,-0.31201518608792633,0.1304492996853468,True
linear_memory_lag24_s014_snr20db:9074:800,linear_memory_lag24_s014_snr20db,input_driven,synthetic,input_driven,9074,800,1,0.2843115837892338,1.043791240005334,-0.7594796562161001,baseline_preferred,-0.6748564131979384,baseline_preferred,0.028097972866268268,2.1744888452855546,0.055006949348990766,0.08462324301816171,True
linear_memory_lag06_s015_snr5db:9075:800,linear_memory_lag06_s015_snr5db,input_driven,synthetic,input_driven,9075,800,1,0.528604445449955,1.0087305498788322,-0.4801261044288771,baseline_preferred,-0.4111813026298493,baseline_preferred,0.04209158156096815,1.6019212377259278,-0.6838883978400873,0.06894480179902779,True
linear_memory_lag13_s016_snr10db:9076:800,linear_memory_lag13_s016_snr10db,input_driven,synthetic,input_driven,9076,800,1,0.3887556958821677,1.009571676738285,-0.6208159808561173,baseline_preferred,-0.6163842091995315,baseline_preferred,0.03519789868930888,2.1778755509573333,0.13569728980320775,0.0044317716565858145,True
