n_qubits,J,h,dt,depth,virtual_nodes,reupload,amplitude_damping,dephasing,feature_dim,mean_val_nrmse,median_val_nrmse,mean_test_nrmse,median_test_nrmse
10,1.2,1.0,0.25,5,5,False,0.005,0.005,100,1.049105798571177,1.0167970053924758,1.041231603471191,1.0091720214979314
10,1.5,1.0,0.15,5,5,False,0.0,0.0,100,0.8985249087049121,0.9239491489470044,0.9509725891984472,0.9882759375976956
10,1.5,1.0,0.15,5,5,False,0.0,0.005,100,0.9394474802362778,0.9693381126756428,0.9652897357429604,0.968007551360287
10,1.5,1.0,0.15,5,5,False,0.005,0.0,100,0.9656368989055653,0.9977376313105628,0.9511917989928168,0.991570498387818
10,1.5,1.0,0.15,5,5,False,0.005,0.005,100,1.0286120225697857,1.01031001734731,0.9878589374154898,0.9678834341655254
10,1.5,1.0,0.2,5,5,False,0.0,0.0,100,0.9636816146820816,0.9785354255964672,0.981220796833767,1.0059470622160107
10,1.5,1.0,0.2,5,5,False,0.0,0.005,100,0.9780378012456316,1.01226548578785,0.989277214084801,0.9593879870861244
10,1.5,1.0,0.2,5,5,False,0.005,0.0,100,0.9686288625021938,1.0110729790944752,0.9828291105814247,0.9998037888247816
10,1.5,1.0,0.2,5,5,False,0.005,0.005,100,1.0420142801512478,1.0117524556925273,1.0045365958630963,1.005924087449021
10,1.5,1.0,0.25,5,5,False,0.0,0.0,100,0.9467890026592176,0.9645476189641466,0.9706773722051528,0.9903690113234902
10,1.5,1.0,0.25,5,5,False,0.0,0.005,100,1.014426366902746,0.9944666201429014,1.009591526083928,0.987847760187202
10,1.5,1.0,0.25,5,5,False,0.005,0.0,100,0.9835763171263048,1.0010776320040622,0.9795627429278146,1.0129242530920657
10,1.5,1.0,0.25,5,5,False,0.005,0.005,100,1.0524366094566124,1.0065785121955844,1.0151231588035927,0.991483589584623
