source_index,name,family,task_type,seed,length,horizon,nrmse_esn_matched,nrmse_qrc_J1,nrmse_qrc_J0,advantage_J1_vs_esn,advantage_J0_vs_esn,paired_delta_J0_minus_J1,paired_effect_J1_better,feature_dim,n_qubits,depth,virtual_nodes,matched_qrc_seeds
95,henon_a1.163_s015,chaotic_map,forecast,1515,800,11,1.1159602669580695,0.9765272812690209,0.9797608249355858,0.1394329856890486,0.13619944202248369,0.0032335436665649198,0.0032335436665649198,60,6,5,5,0
96,henon_a1.272_s016,chaotic_map,forecast,1516,800,2,0.3297682383876916,0.6739997359543887,0.5347507606020511,-0.3442314975666971,-0.20498252221435947,-0.1392489753523376,-0.1392489753523376,60,6,5,5,0
97,henon_a1.150_s017,chaotic_map,forecast,1517,800,186,0.6281418570997908,0.8080837629850015,0.8679604011288731,-0.17994190588521075,-0.23981854402908231,0.05987663814387156,0.05987663814387156,60,6,5,5,0
98,henon_a1.306_s018,chaotic_map,forecast,1518,800,2,0.0028422209101672,0.05183137483661766,0.5387633771707577,-0.04898915392645046,-0.5359211562605906,0.4869320023341401,0.4869320023341401,60,6,5,5,0
99,henon_a1.219_s019,chaotic_map,forecast,1519,800,4,0.8866593998327746,0.7496046823924227,0.7912033851740824,0.13705471744035191,0.09545601465869225,0.04159870278165967,0.04159870278165967,60,6,5,5,0
340,ikeda_u0.722_s000,chaotic_map,forecast,2900,800,2,1.0051615556117202,0.873199797407586,0.9373303025533732,0.13196175820413414,0.06783125305834692,0.06413050514578722,0.06413050514578722,60,6,5,5,0
341,ikeda_u0.746_s001,chaotic_map,forecast,2901,800,2,0.916280413471786,0.8354133944242114,0.7967664373562774,0.08086701904757465,0.11951397611550862,-0.038646957067933974,-0.038646957067933974,60,6,5,5,0
342,ikeda_u0.763_s002,chaotic_map,forecast,2902,800,2,0.945296402463986,0.8509644575778212,0.8345434444145063,0.09433194488616481,0.11075295804947971,-0.0164210131633149,-0.0164210131633149,60,6,5,5,0
343,ikeda_u0.801_s003,chaotic_map,forecast,2903,800,2,0.7859342997222872,0.8192104965125946,0.825295835706419,-0.033276196790307355,-0.039361535984131724,0.006085339193824368,0.006085339193824368,60,6,5,5,0
344,ikeda_u0.864_s004,chaotic_map,forecast,2904,800,1,0.8771025999574713,0.8468589301928545,0.8623747360654412,0.030243669764616787,0.014727863892030069,0.015515805872586719,0.015515805872586719,60,6,5,5,0
345,ikeda_u0.855_s005,chaotic_map,forecast,2905,800,1,0.8640646211080718,0.8502669969435892,0.8746894046393424,0.013797624164482603,-0.01062478353127061,0.024422407695753212,0.024422407695753212,60,6,5,5,0
346,ikeda_u0.812_s006,chaotic_map,forecast,2906,800,1,0.7565479343190296,0.7821597273767026,0.8619369390277467,-0.025611793057673027,-0.10538900470871715,0.07977721165104412,0.07977721165104412,60,6,5,5,0
347,ikeda_u0.883_s007,chaotic_map,forecast,2907,800,1,0.8725851760669674,0.8855229152926045,0.905643898276427,-0.012937739225637124,-0.0330587222094596,0.020120982983822477,0.020120982983822477,60,6,5,5,0
348,ikeda_u0.755_s008,chaotic_map,forecast,2908,800,2,0.8972718956981943,0.8126000108864893,0.7821616365495431,0.08467188481170507,0.11511025914865125,-0.030438374336946183,-0.030438374336946183,60,6,5,5,0
349,ikeda_u0.734_s009,chaotic_map,forecast,2909,800,2,1.0754802026062116,0.8548489131671102,0.8914243370192261,0.22063128943910137,0.1840558655869855,0.036575423852115874,0.036575423852115874,60,6,5,5,0
