dataset_id,name,family,source,task_type,seed,length,horizon,nrmse_esn_matched,nrmse_qrc_spin,qrc_advantage,actual_usefulness_label,predicted_qrc_advantage,predicted_usefulness_label,predicted_prob_qrc_useful,property_pc1,property_pc2,abs_prediction_error,prediction_correct_label
rossler_c8.73_s000:1300:800,rossler_c8.73_s000,chaotic_flow,synthetic,forecast,1300,800,21,0.2202896835417235,0.8708207444817652,-0.6505310609400416,baseline_preferred,-0.695976491390925,baseline_preferred,0.015067068483554897,-3.168546934555225,-0.7792160928419088,0.04544543045088334,True
rossler_c7.94_s001:1301:800,rossler_c7.94_s001,chaotic_flow,synthetic,forecast,1301,800,22,1.4287729924442385,1.544269047040944,-0.1154960545967058,baseline_preferred,-0.6672331113996908,baseline_preferred,0.006456111246237348,-3.1686319375432292,-0.48494060962956703,0.551737056802985,True
rossler_c4.05_s002:1302:800,rossler_c4.05_s002,chaotic_flow,synthetic,forecast,1302,800,22,0.0087847722568014,1.089379895479792,-1.0805951232229905,baseline_preferred,-0.9919869347773353,baseline_preferred,0.0033764369012602253,-3.522601503877117,-0.5104078700659326,0.0886081884456551,True
rossler_c7.60_s003:1303:800,rossler_c7.60_s003,chaotic_flow,synthetic,forecast,1303,800,21,0.1985007478780082,1.050077786335521,-0.8515770384575129,baseline_preferred,-0.6707814142268178,baseline_preferred,0.015663439647274527,-3.4760031162226794,-0.7522351488520976,0.18079562423069506,True
rossler_c6.23_s004:1304:800,rossler_c6.23_s004,chaotic_flow,synthetic,forecast,1304,800,22,0.0292258452173473,1.040222810171236,-1.0109969649538888,baseline_preferred,-0.9231917604805415,baseline_preferred,0.007228278288211967,-3.6793612120856465,-0.726290383722393,0.08780520447334728,True
rossler_c8.89_s005:1305:800,rossler_c8.89_s005,chaotic_flow,synthetic,forecast,1305,800,21,0.0952118167253199,0.8834388357878153,-0.7882270190624954,baseline_preferred,-0.7281279607033692,baseline_preferred,0.02014332243039592,-3.563270712431536,-0.8387109730038074,0.06009905835912621,True
rossler_c8.13_s006:1306:800,rossler_c8.13_s006,chaotic_flow,synthetic,forecast,1306,800,21,0.1253889707149538,0.8855955437465811,-0.7602065730316272,baseline_preferred,-0.6780089241539332,baseline_preferred,0.016772593814590755,-3.3435821802945327,-0.7612947239638292,0.08219764887769399,True
rossler_c6.96_s007:1307:800,rossler_c6.96_s007,chaotic_flow,synthetic,forecast,1307,800,21,0.0448984371725382,0.89873018902193,-0.8538317518493918,baseline_preferred,-0.8298209954752711,baseline_preferred,0.004712795858516313,-3.2187429294467,-0.48941107580017956,0.024010756374120645,True
rossler_c5.57_s008:1308:800,rossler_c5.57_s008,chaotic_flow,synthetic,forecast,1308,800,21,0.0666394130249923,1.098979220552365,-1.0323398075273726,baseline_preferred,-0.9363116565587025,baseline_preferred,0.00398152040330538,-3.494530889667393,-0.6629621345512527,0.09602815096867012,True
rossler_c5.22_s009:1309:800,rossler_c5.22_s009,chaotic_flow,synthetic,forecast,1309,800,21,0.0047529510604737,1.102555278050138,-1.0978023269896642,baseline_preferred,-0.928928597482759,baseline_preferred,0.0030700077870000736,-3.2125854081823695,-0.35528618113160176,0.16887372950690516,True
rossler_c4.90_s010:1310:800,rossler_c4.90_s010,chaotic_flow,synthetic,forecast,1310,800,22,0.0118752652349755,0.9718793681132466,-0.9600041028782712,baseline_preferred,-0.9418622360958441,baseline_preferred,0.0030700077870000736,-3.3836818523179484,-0.47157777789048766,0.01814186678242713,True
rossler_c8.37_s011:1311:800,rossler_c8.37_s011,chaotic_flow,synthetic,forecast,1311,800,20,0.060013359866554,0.8769235341386471,-0.816910174272093,baseline_preferred,-0.6999718541582399,baseline_preferred,0.021370050270228754,-3.2941280027930917,-0.8597750390948282,0.11693832011385308,True
rossler_c6.39_s012:1312:800,rossler_c6.39_s012,chaotic_flow,synthetic,forecast,1312,800,22,0.2407712853511098,1.0815596320566176,-0.8407883467055078,baseline_preferred,-0.8867799540499445,baseline_preferred,0.00714561507841415,-3.4282109107652845,-0.6013994558556882,0.045991607344436636,True
rossler_c5.85_s013:1313:800,rossler_c5.85_s013,chaotic_flow,synthetic,forecast,1313,800,22,0.0407179842659377,1.0308335601686902,-0.9901155759027525,baseline_preferred,-0.9231917604805415,baseline_preferred,0.006831557140161053,-3.641262238261203,-0.7625345263440685,0.06692381542221093,True
